gene,logFC_non_primary_minus_primary,effect_size,pgnn_score,combined_score
PRKACA,-3.7644253063495436,3.7644253063495436,0.02423386,0.09122655922383434
ABCA1,-2.69105947583518,2.69105947583518,0.027799528,0.07481018349611555
IRS1,2.85622644070915,2.85622644070915,0.01956646,0.05588623920705002
GSTP1,4.208212129776315,4.208212129776315,0.010034241,0.04222621377300648
FUT2,3.738185378530562,3.738185378530562,0.010076713,0.03766862051598768
SPHK2,2.263570904268061,2.263570904268061,0.016218781,0.03671236184100896
PCK1,-2.0731571394336257,2.0731571394336257,0.016756395,0.03473863967255657
ASL,-2.9500543012040152,2.9500543012040152,0.011580476,0.03416303187154006
ACOT7,3.324614554440681,3.324614554440681,0.0095995935,0.03191494816046115
GLS,3.516535106004406,3.516535106004406,0.008731323,0.03070400488642615
ALB,-2.0764692548846013,2.0764692548846013,0.014779872,0.030689950341062838
CYP2S1,3.5856734970669804,3.5856734970669804,0.007447823,0.026705461365460443
EHD1,3.546294638737542,3.546294638737542,0.0074361437,0.026370756536310488
ABCD3,1.4771521149702762,1.4771521149702762,0.017751826,0.026222147281179584
CYP2B6,-1.8579199017498866,1.8579199017498866,0.013223812,0.024568783462187806
PLB1,2.148889252145342,2.148889252145342,0.011319723,0.02432483104954518
GSTM3,2.5043017395184566,2.5043017395184566,0.009553044,0.02392370496505479
CYP3A5,-1.4595308994279181,1.4595308994279181,0.015867874,0.023159652449612385
PAQR3,2.655318473755258,2.655318473755258,0.0085844565,0.02279446598017062
BHMT2,-4.244599132752452,4.244599132752452,0.0053354558,0.022646870893262127
ELOVL7,3.895270123889544,3.895270123889544,0.005716974,0.02226915769286701
FABP3,0.7409247759839033,0.7409247759839033,0.028728902,0.02128595553048
GBA1,2.8209762117085804,2.8209762117085804,0.0074423063,0.02099456892396856
LIMA1,4.0433828086101515,4.0433828086101515,0.004958242,0.020048071183302388
ELOVL1,3.0766538433143507,3.0766538433143507,0.006312678,0.019421925345367238
ELOVL5,-1.398818859738222,1.398818859738222,0.013821832,0.01933423914393864
ENO3,-4.162079293711816,4.162079293711816,0.0044212136,0.018401441751456884
FA2H,3.1942811264669073,3.1942811264669073,0.0056171874,0.0179428755628901
GCDH,-3.002614188668812,3.002614188668812,0.0058492236,0.017562961725824548
HSD17B7,-3.2983472468802826,3.2983472468802826,0.0050116293,0.01653009374767839
NCOR1,2.520804605175477,2.520804605175477,0.0065365895,0.01647746483751419
CPT2,-1.600595526121182,1.600595526121182,0.010109676,0.016181502253218724
INPP5F,3.220432115281214,3.220432115281214,0.0049816296,0.016042999790725643
LPCAT1,1.600967858094284,1.600967858094284,0.009851682,0.01577222622994539
NEU4,-2.6643018988744323,2.6643018988744323,0.0057923407,0.015432544404229807
NPC1,1.5054996809528056,1.5054996809528056,0.009775335,0.014716763677281612
SORL1,1.2072941923632297,1.2072941923632297,0.011745196,0.014179906720764876
DPEP1,1.9693849928211002,1.9693849928211002,0.0067851185,0.013362510522283495
MDK,3.2418412622988773,3.2418412622988773,0.004087423,0.013250776454903202
HACD1,2.3761110368872242,2.3761110368872242,0.005548555,0.013183982627637767
ESR1,-4.1695297524871044,4.1695297524871044,0.0030868056,0.01287052769118713
HPGD,2.1156148380687156,2.1156148380687156,0.005829167,0.012332272382058456
NFKB1,-1.3018488538197133,1.3018488538197133,0.009320603,0.01213401600994937
AADAC,-1.7079913483793299,1.7079913483793299,0.0068277577,0.01166175106988718
NOS2,1.7492975886941968,1.7492975886941968,0.006578824,0.011508320989725995
KDSR,-3.3578481054623763,3.3578481054623763,0.0033957188,0.011402307788833076
NIT2,-3.1319887633307992,3.1319887633307992,0.0036021045,0.011281750800641834
HAO2,-3.7182664433073938,3.7182664433073938,0.0029479563,0.010961287074465677
IDH2,-3.2037601677715255,3.2037601677715255,0.0033922778,0.01086804433704924
MTHFD1,-2.2629033334531408,2.2629033334531408,0.004799621,0.010861078766855195
MLLT11,1.8020838862033055,1.8020838862033055,0.0059221694,0.010672246091425756
PLPP1,1.6588385315855725,1.6588385315855725,0.006429693,0.010665822819746741
MYLIP,1.7818165931817136,1.7818165931817136,0.005936573,0.010577883910750764
FASN,1.9061393765552026,1.9061393765552026,0.0050600725,0.00964520348357275
HEPH,3.6555954686298264,3.6555954686298264,0.0026193631,0.009575332006003608
ID3,3.048625828380089,3.048625828380089,0.0030676043,0.009351977596902998
DDIT4,-2.5083458805336685,2.5083458805336685,0.0036269177,0.009097564126269905
GIT1,3.4518748853873547,3.4518748853873547,0.0025894612,0.008938495947733325
CEBPB,-3.2089636333022664,3.2089636333022664,0.0027005828,0.008666072138763069
PNPLA2,0.6332650246898766,0.6332650246898766,0.013600739,0.008612872140755044
LPIN3,-2.7158485511665953,2.7158485511665953,0.0031647806,0.008595064695969934
NFE2L1,1.6848206018617649,1.6848206018617649,0.004840797,0.00815587420059053
ANO4,2.1854868883582355,2.1854868883582355,0.0036448867,0.00796585200379792
GBA3,-1.3635362547460952,1.3635362547460952,0.0057387007,0.007824926514181898
SLC44A1,-1.7308663400745705,1.7308663400745705,0.00440614,0.007626439737411381
ITGB2,-4.157154385195236,4.157154385195236,0.0018301937,0.007608397681653068
NR5A2,-1.643406232359893,1.643406232359893,0.004535773,0.007454117350042366
FDXR,1.8066406608218175,1.8066406608218175,0.0041029123,0.007412488127192204
HMGCS1,1.923114842026203,1.923114842026203,0.0037256095,0.007164774942879487
AWAT1,1.5035244449550669,1.5035244449550669,0.004738679,0.007124719947405053
GAD1,1.7775748096898625,1.7775748096898625,0.0039246543,0.006976366675629388
MVD,2.140541867341692,2.140541867341692,0.003229192,0.006912220657484974
AZIN1,3.039562600626692,3.039562600626692,0.002244863,0.00682340149872846
HPX,-3.4283369562487693,3.4283369562487693,0.0019611344,0.0067234294510397676
ANO6,1.453426685926426,1.453426685926426,0.0045896294,0.0066706897896716775
GPS2,-1.811835495173725,1.811835495173725,0.0036788215,0.006665419361317027
NDNF,2.134605516071476,2.134605516071476,0.0031000767,0.006617440803393566
ELOVL6,-0.7606434986402056,0.7606434986402056,0.008540809,0.006496510956505162
GLYATL1,-2.647116813128937,2.647116813128937,0.0024522177,0.006491306811490218
EHHADH,-0.7605064733963813,0.7605064733963813,0.008468254,0.006440161634020319
FUT6,-1.1740112436645824,1.1740112436645824,0.0054178233,0.006360585500727477
ECI1,-1.8377529069518583,1.8377529069518583,0.0034242617,0.006292946887157955
NKX3-1,-3.0080535884289556,3.0080535884289556,0.0020533497,0.00617658606732873
PCBD1,-2.6448936261473293,2.6448936261473293,0.0023243916,0.006147768585952756
HPN,-1.7126330574673896,1.7126330574673896,0.0034898373,0.0059768106965079415
