gene,importance
FABP3,0.028728902
ABCA1,0.027799528
NR1H3,0.026196053
PRKACA,0.02423386
UGT1A1,0.022463132
IRS1,0.01956646
ABCD3,0.017751826
PCK1,0.016756395
SPHK2,0.016218781
CYP3A5,0.015867874
ALB,0.014779872
ELOVL5,0.013821832
PNPLA2,0.013600739
CYP2B6,0.013223812
NTSR1,0.012155456
SORL1,0.011745196
ASL,0.011580476
PLB1,0.011319723
CPT2,0.010109676
FUT2,0.010076713
GSTP1,0.010034241
LPCAT1,0.009851682
NPC1,0.009775335
ACOT7,0.0095995935
GSTM3,0.009553044
NFKB1,0.009320603
GLS,0.008731323
GNAI1,0.008602464
PAQR3,0.0085844565
ELOVL6,0.008540809
EHHADH,0.008468254
FITM2,0.0083789425
CYP2S1,0.007447823
GBA1,0.0074423063
EHD1,0.0074361437
MOAP1,0.007144987
SLC29A1,0.0068645766
AADAC,0.0068277577
DPEP1,0.0067851185
FOXO1,0.006645329
MGLL,0.00658125
NOS2,0.006578824
NCOR1,0.0065365895
PLPP1,0.006429693
ELOVL1,0.006312678
MYLIP,0.005936573
MLLT11,0.0059221694
GCDH,0.0058492236
HPGD,0.005829167
NEU4,0.0057923407
GBA3,0.0057387007
ELOVL7,0.005716974
FA2H,0.0056171874
HACD1,0.005548555
FUT6,0.0054178233
BHMT2,0.0053354558
CACNA1H,0.005249016
FASN,0.0050600725
HSD17B7,0.0050116293
INPP5F,0.0049816296
LIMA1,0.004958242
NFE2L1,0.004840797
MTHFD1,0.004799621
AWAT1,0.004738679
ANO6,0.0045896294
NR5A2,0.004535773
ENOPH1,0.004508733
NR3C1,0.0044519873
ENO3,0.0044212136
HSD17B1,0.004411512
SLC44A1,0.00440614
POLD1,0.004298423
GFI1,0.0042114137
FDXR,0.0041029123
MDK,0.004087423
VLDLR,0.003941879
GAD1,0.0039246543
APP,0.0039113224
GSS,0.0037975367
HMGCS1,0.0037256095
GPS2,0.0036788215
MTOR,0.0036586623
ANO4,0.0036448867
GPCPD1,0.0036290004
DDIT4,0.0036269177
NIT2,0.0036021045
AHCY,0.0035446892
HPN,0.0034898373
GPX3,0.0034287297
HADH,0.003427166
ECI1,0.0034242617
RABL3,0.003395904
KDSR,0.0033957188
IDH2,0.0033922778
MVD,0.003229192
GUSB,0.0031979897
LPIN3,0.0031647806
NDNF,0.0031000767
ESR1,0.0030868056
ID1,0.003079314
ID3,0.0030676043
MVK,0.0030399996
LPCAT2,0.002962714
HAO2,0.0029479563
PPP2CA,0.0029214276
MBOAT1,0.0029104718
MBOAT2,0.0029053013
BLMH,0.002897162
FMO5,0.0028309817
CYP24A1,0.00281717
EIF6,0.002761639
PKLR,0.0027589062
MIA3,0.0027493269
CEBPB,0.0027005828
HIP1R,0.0026249585
HEPH,0.0026193631
GIT1,0.0025894612
GK5,0.0025272605
DLST,0.00252054
GLYATL1,0.0024522177
GAL,0.0024259668
RELA,0.0023791764
PCBD1,0.0023243916
GIPC1,0.0022687945
MECR,0.002266907
MFSD12,0.0022653695
AZIN1,0.002244863
MIA2,0.0021734056
FASTKD3,0.0021640277
GRAMD1A,0.0021526793
NRP1,0.0021497542
ME2,0.0021475807
OSCP1,0.0021464666
SLC10A5,0.0021440934
GMPR2,0.0021389779
TTC19,0.0021324055
GGPS1,0.0020760482
HILPDA,0.002062842
NKX3-1,0.0020533497
PCNA,0.0020373354
NADSYN1,0.0020185197
CTSA,0.0020062977
INPPL1,0.0019685512
HPX,0.0019611344
IDI1,0.001957189
GLO1,0.0019240878
ITGB2,0.0018301937
SLC66A2,0.0017817774
ATP8B2,0.0017730758
SUMF2,0.0017728116
ARSK,0.0017718221
EZH2,0.0017586254
HDAC6,0.0017254184
DPM2,0.0016425314
NAXE,0.0015855907
KDM5B,0.0015838706
FAS,0.0015316044
DNMT1,0.001520772
FEM1B,0.0015128634
FAR2,0.0015016171
FGL1,0.0014590876
EBP,0.0014430805
MPV17L,0.0014332962
FYN,0.0014267936
MAP2K1,0.0014039142
GBGT1,0.001351568
MMAB,0.0013318048
EIF4E,0.0013139938
ACBD6,0.0012362554
EIF2AK1,0.0012184764
GYS1,0.0012175685
GALM,0.0012089611
HLA-G,0.0012088213
MAPK9,0.0012063708
CKMT1B,0.0012005406
PAFAH1B2,0.0011994807
ILVBL,0.0011810956
GAL3ST4,0.0011489559
ITPKC,0.0011366385
IP6K1,0.0011297159
ITPKB,0.001127429
GFPT1,0.0011256137
GCAT,0.0010834449
EGLN2,0.0010788484
GPT,0.0010788279
HMGCL,0.0010494539
KDM3A,0.0010274287
FTH1,0.0010227499
GLYCTK,0.0010221933
SAT1,0.0010205078
MORC2,0.0010185828
EARS2,0.0010180994
NAT8,0.000980007
HTRA2,0.0009563271
SHMT2,0.00095143024
AMDHD2,0.00092433934
MMP1,0.00090124155
PRDX2,0.00089615845
TXNDC12,0.000893367
PRDX1,0.0008914483
ITGB1,0.0008900531
GRB10,0.0008879736
NME2,0.0008110265
TRAP1,0.00080948265
BCR,0.00080739136
FTO,0.000807378
MMP3,0.00080583716
SELENOI,0.00080563687
LIPH,0.00080286164
MYCN,0.00079854415
ZBTB7A,0.0007874527
JMJD8,0.00078529224
MCCC2,0.00076593604
NPR2,0.0007392207
MUC4,0.000737736
LRP5,0.000728023
SERINC1,0.00067285704
NUP205,0.00061273604
NUP107,0.00061069796
NUP42,0.0006096613
NUP160,0.0006081203
NUP54,0.0006071546
GNPDA1,0.0006067654
PARP9,0.00058597577
PARP14,0.00058338675
NAPRT,0.00058186904
NMRK1,0.0005816935
PPTC7,0.0005791005
NEFL,0.0005589862
GHRHR,0.00055803877
FOSB,0.00055643055
MIGA2,0.0005561526
GC,0.0005386888
DNM1L,0.0005365073
INPP4A,0.0005233421
FOXK1,0.0005180871
HYCC1,0.0005164172
INPP1,0.0005130931
DPAGT1,0.00050890795
NPAS2,0.0005080014
UAP1,0.0005058806
MED23,0.00050547154
NUDT14,0.00050492486
MED20,0.0005048849
SIN3A,0.0005048772
FRZB,0.00050450733
MED14,0.00050449366
CD2AP,0.00050412765
NANP,0.0005040293
NAGK,0.0005038176
HNF1B,0.0005037517
MPDU1,0.00050336577
MED22,0.0005033413
GMPPB,0.00050317886
TBX3,0.00050317316
SOX17,0.0005030041
MED24,0.0005028401
GMDS,0.00050268957
ELK1,0.0005025907
G0S2,0.00050244457
NPHP3,0.0005021927
DOLPP1,0.00050213264
MED18,0.0005020657
GFUS,0.000501318
MED12,0.00050080114
MOXD1,0.00045978188
GCSH,0.0004583743
SLC16A2,0.00044919946
DIO3,0.00044691612
PAX8,0.00044603544
TYMS,0.00044323588
NDST1,0.00044154996
EXTL2,0.000440922
DSE,0.00044009037
HS6ST2,0.00044007867
HS3ST1,0.00044006165
EXTL3,0.00043916213
HS3ST4,0.00043901053
HS2ST1,0.00043683886
CHST7,0.00043665213
