Pathway,Importance
GOBP REGULATION OF MEMBRANE LIPID METABOLIC PROCESS,1.6669979e-07
GOBP SPHINGOLIPID MEDIATED SIGNALING PATHWAY,1.6669979e-07
GOBP REGULATION OF SPHINGOLIPID BIOSYNTHETIC PROCESS,1.6669979e-07
GOBP LOW DENSITY LIPOPROTEIN PARTICLE CLEARANCE,1.5978274e-07
GOBP REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,1.5357416e-07
GOBP POSITIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,1.4105504e-07
REACTOME TRANSPORT OF BILE SALTS AND ORGANIC ACIDS METAL IONS AND AMINE COMPOUNDS,1.3108686e-07
GOBP C21 STEROID HORMONE METABOLIC PROCESS,1.2930738e-07
KEGG STARCH AND SUCROSE METABOLISM,1.2847607e-07
GOBP PHOSPHOLIPID DEPHOSPHORYLATION,1.2284782e-07
KEGG FATTY ACID METABOLISM,1.1941576e-07
GOBP CELLULAR RESPONSE TO CHOLESTEROL,1.1920462e-07
KEGG CYSTEINE AND METHIONINE METABOLISM,1.1804585e-07
GOBP LIVER REGENERATION,1.1536528e-07
GOBP REGULATION OF CHOLESTEROL STORAGE,1.1516024e-07
KEGG GLYCEROLIPID METABOLISM,1.1456439e-07
GOBP BILE ACID METABOLIC PROCESS,1.11675824e-07
REACTOME PEROXISOMAL LIPID METABOLISM,1.07963174e-07
GOBP NEGATIVE REGULATION OF LIPID CATABOLIC PROCESS,1.0726213e-07
GOBP NEGATIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS,1.0726213e-07
